YYMM;YY;balance
1302;13;-1677
1302;13;-819
1302;13;-2443
1302;13;-2415
1302;13;-2133
1302;13;-1052
1302;13;-106
1302;13;-354
1302;13;-374
1302;13;-534
1302;13;-841
1302;13;-714
1302;13;-58
1302;13;-513
1302;13;-773
1302;13;-2062
1302;13;-2104
1302;13;-2292
1302;13;-1151
1302;13;-1731
1302;13;-1455
1302;13;-1293
1302;13;-590
1302;13;-115
1302;13;-119
1302;13;-2727
1302;13;-3589
1302;13;-3056
1302;13;-3287
1302;13;-3171
1302;13;-2956
1302;13;-2506
1302;13;-2507
1302;13;-1885
1302;13;-2037
1302;13;-2225
1302;13;-2401
1302;13;-3612
1302;13;-3620
1302;13;-3392
1302;13;-3628
1302;13;-3530
1302;13;-3434
1302;13;-2797
1302;13;-2826
1302;13;-2043
1302;13;-1891
1302;13;-1125
1302;13;-1210
1302;13;-3709
1302;13;-4050
1302;13;-3811
1302;13;-3662
1302;13;-2566
1302;13;-2535
1302;13;-390
1302;13;-883
1302;13;-2806
1302;13;-2910
1302;13;-3569
1302;13;-3315
1302;13;-2223
1302;13;-2073
1302;13;-3199
1302;13;-2860
1302;13;-2593
1302;13;-1094
1302;13;-890
1302;13;-302
1302;13;-9
1302;13;-14
1302;13;-1004
1302;13;-1869
1302;13;-2467
1302;13;-2400
1302;13;-2333
1302;13;-2568
1302;13;-2717
1302;13;-2775
1302;13;-2695
1302;13;-2582
1302;13;-1543
1302;13;-1568
1302;13;-1081
1302;13;-1398
1302;13;-1596
1302;13;-1748
1302;13;-1515
1302;13;-1262
1302;13;-1250
1302;13;-1437
1302;13;-2461
1302;13;-2595
1302;13;-1494
1302;13;-1446
1302;13;-289
1302;13;-998
1302;13;-1816
1302;13;-1739
1302;13;-1540
1302;13;-1434
1302;13;-2093
1302;13;-2454
1302;13;-1896
1302;13;-495
1302;13;-1011
1302;13;-1502
1302;13;-712
1302;13;-1098
1302;13;-2262
1302;13;-2108
1302;13;-511
1302;13;-429
1302;13;-506
1302;13;-689
1302;13;-578
1302;13;-694
1302;13;-92
1302;13;-102
1302;13;-1241
1302;13;-972
1302;13;-579
1302;13;-694
1302;13;-543
1302;13;-865
1302;13;-1189
1302;13;-952
1302;13;-727
1302;13;-1810
1302;13;-1957
1302;13;-1128
1302;13;-23
1302;13;-711
1302;13;-1361
1302;13;-933
1302;13;-1046
1302;13;-1174
1302;13;-1320
1302;13;-1939
1302;13;-1864
1302;13;-1480
1302;13;-1536
1302;13;-1857
1302;13;-1939
1302;13;-1607
1302;13;-1544
1302;13;-400
1302;13;-439
1302;13;-349
1302;13;-225
1302;13;-1308
1302;13;-1262
1302;13;-385
1302;13;-361
1302;13;-1127
1303;13;-1452
1303;13;-462
1303;13;-405
1303;13;-53
1303;13;-91
1303;13;-738
1303;13;-864
1303;13;-970
1303;13;-1530
1303;13;-1741
1303;13;-1706
1303;13;-1433
1303;13;-997
1303;13;-1368
1303;13;-1281
1303;13;-1163
1303;13;-1102
1303;13;-1742
1303;13;-1803
1303;13;-1284
1303;13;-1365
1303;13;-467
1303;13;-102
1303;13;-55
1303;13;-1483
1303;13;-1327
1303;13;-1906
1303;13;-1935
1303;13;-162
1303;13;-200
1303;13;-846
1303;13;-673
1303;13;-1348
1303;13;-1128
1303;13;-546
1303;13;-152
1303;13;-724
1303;13;-302
1303;13;-699
1303;13;-387
1303;13;-339
1303;13;-430
1303;13;-475
1303;13;-475
1303;13;-655
1303;13;-458
1303;13;-455
1303;13;-1183
1303;13;-1075
1303;13;-1329
1303;13;-342
1303;13;-169
1303;13;-726
1303;13;-356
1303;13;-140
1303;13;-607
1303;13;-523
1303;13;-553
1303;13;-920
1303;13;-1997
1303;13;-2711
1303;13;-2613
1303;13;-2266
1303;13;-2232
1303;13;-1031
1303;13;-1113
1303;13;-1017
1303;13;-1143
1303;13;-648
1303;13;-975
1303;13;-1203
1303;13;-1321
1303;13;-491
1303;13;-525
1303;13;-1322
1303;13;-1350
1303;13;-176
1303;13;-238
1303;13;-691
1303;13;-2633
1303;13;-2553
1303;13;-1440
1303;13;-1514
1303;13;-1804
1303;13;-878
1303;13;-1167
1303;13;-1278
1303;13;-960
1303;13;-245
1303;13;-3579
1303;13;-3780
1303;13;-4307
1303;13;-4543
1303;13;-3809
1303;13;-3907
1303;13;-3414
1303;13;-3291
1303;13;-2134
1303;13;-1977
1303;13;-1614
1303;13;-2033
1303;13;-2007
1303;13;-1863
1303;13;-352
1303;13;-364
1303;13;-61
1303;13;-234
1303;13;-1853
1303;13;-1312
1303;13;-606
1303;13;-522
1303;13;-32
1303;13;-463
1303;13;-1361
1303;13;-2122
1303;13;-2391
1303;13;-2886
1303;13;-1870
1303;13;-1184
1303;13;-2575
1303;13;-2947
1303;13;-1948
1303;13;-1151
1303;13;-771
1303;13;-408
1303;13;-327
1303;13;-301
1303;13;-1150
1303;13;-2383
1303;13;-4091
1303;13;-4254
1303;13;-4967
1303;13;-4693
1303;13;-4542
1303;13;-4792
1303;13;-3841
1303;13;-3985
1303;13;-3271
1303;13;-3150
1303;13;-2379
1303;13;-2415
1303;13;-2219
1303;13;-2250
1303;13;-1191
1303;13;-1130
1303;13;-306
1303;13;-277
1303;13;-208
1303;13;-14
1303;13;-41
1303;13;-108
1303;13;-429
1303;13;-386
1303;13;-269
1303;13;-372
1303;13;-758
1303;13;-729
1303;13;-198
1303;13;-93
1303;13;-630
1303;13;-527
1303;13;-788
1303;13;-1053
1303;13;-1023
1303;13;-1076
1303;13;-519
1303;13;-546
1303;13;-210
1303;13;-274
1303;13;-449
1303;13;-657
1303;13;-31
1303;13;-604
1303;13;-663
1303;13;-700
1303;13;-653
1303;13;-625
1303;13;-278
1303;13;-9
1303;13;-504
1303;13;-1025
1303;13;-917
1303;13;-919
1303;13;-986
1303;13;-635
1303;13;-504
1303;13;-53
1303;13;-202
1303;13;-1051
1303;13;-857
1303;13;-101
1303;13;-349
1303;13;-159
1303;13;-218
1303;13;-104
1303;13;-345
1303;13;-66
1303;13;-544
1303;13;-237
1303;13;-1286
1303;13;-572
1303;13;-646
1303;13;-575
1303;13;-1295
1303;13;-1233
1303;13;-571
1303;13;-547
1303;13;-773
1303;13;-581
1303;13;-155
1304;13;-68
1304;13;-1266
1304;13;-1214
1304;13;-1318
1304;13;-1805
1304;13;-1854
1304;13;-560
1304;13;-707
1304;13;-817
1304;13;-729
1304;13;-187
1304;13;-545
1304;13;-620
1304;13;-303
1304;13;-64
1304;13;-343
1304;13;-198
1304;13;-256
1304;13;-39
1304;13;-1287
1304;13;-1216
1304;13;-1747
1304;13;-1698
1304;13;-1430
1304;13;-1323
1304;13;-486
1304;13;-510
1304;13;-784
1304;13;-675
1304;13;-45
1304;13;-36
1304;13;-121
1304;13;-422
1304;13;-214
1304;13;-182
1304;13;-76
1304;13;-390
1304;13;-322
1304;13;-880
1304;13;-717
1304;13;-521
1304;13;-288
1304;13;-811
1304;13;-1985
1304;13;-1968
1304;13;-2979
1304;13;-2889
1304;13;-3250
1304;13;-3147
1304;13;-3158
1304;13;-2936
1304;13;-3022
1304;13;-3198
1304;13;-3424
1304;13;-3483
1304;13;-2699
1304;13;-2711
1304;13;-940
1304;13;-835
1304;13;-237
1304;13;-596
1304;13;-1224
1304;13;-884
1304;13;-833
1304;13;-769
1304;13;-902
1304;13;-351
1304;13;-381
1304;13;-36
1304;13;-73
1310;13;-538
1310;13;-162
1310;13;-136
1310;13;-351
1310;13;-41
1310;13;-818
1310;13;-336
1311;13;-64
1311;13;-111
1311;13;-2377
1311;13;-2213
1311;13;-1878
1311;13;-1145
1311;13;-322
1311;13;-483
1311;13;-1825
1311;13;-1756
1311;13;-1069
1311;13;-781
1311;13;-1222
1311;13;-1322
1311;13;-2233
1311;13;-2349
1311;13;-2500
1311;13;-2471
1311;13;-2715
1311;13;-2889
1311;13;-2831
1311;13;-3337
1311;13;-3419
1311;13;-3305
1311;13;-1458
1311;13;-1622
1311;13;-82
1311;13;-16
1311;13;-392
1311;13;-3134
1311;13;-3040
1311;13;-2296
1311;13;-1382
1311;13;-54
1311;13;-50
1311;13;-394
1311;13;-578
1311;13;-1291
1311;13;-1276
1311;13;-1407
1311;13;-1498
1311;13;-1337
1311;13;-1690
1311;13;-2134
1311;13;-1905
1311;13;-133
1311;13;-130
1311;13;-198
1311;13;-2793
1311;13;-2939
1311;13;-2676
1311;13;-2203
1311;13;-700
1311;13;-242
1311;13;-53
1311;13;-173
1311;13;-323
1311;13;-76
1311;13;-78
1311;13;-266
1311;13;-62
1311;13;-586
1311;13;-600
1311;13;-962
1311;13;-957
1311;13;-652
1311;13;-318
1311;13;-150
1311;13;-617
1311;13;-634
1311;13;-895
1311;13;-854
1311;13;-926
1311;13;-808
1311;13;-651
1311;13;-1116
1311;13;-760
1311;13;-825
1311;13;-620
1311;13;-939
1311;13;-313
1311;13;-2964
1311;13;-3001
1311;13;-3122
1311;13;-2509
1311;13;-437
1311;13;-499
1311;13;-480
1311;13;-660
1311;13;-369
1311;13;-450
1311;13;-1524
1311;13;-1915
1311;13;-2107
1311;13;-2716
1311;13;-2744
1311;13;-1953
1311;13;-1843
1311;13;-2102
1311;13;-2280
1311;13;-1798
1311;13;-1992
1311;13;-1450
1311;13;-1231
1311;13;-1527
1311;13;-1756
1311;13;-928
1311;13;-888
1311;13;-472
1311;13;-909
1311;13;-2944
1311;13;-2905
1311;13;-2758
1311;13;-2868
1311;13;-1262
1311;13;-1017
1311;13;-684
1311;13;-988
1311;13;-920
1311;13;-19
1311;13;-737
1311;13;-726
1311;13;-301
1311;13;-2310
1311;13;-2719
1311;13;-2667
1311;13;-3065
1311;13;-2979
1311;13;-3010
1311;13;-3820
1311;13;-3929
1311;13;-2931
1311;13;-3054
1311;13;-3607
1311;13;-3927
1311;13;-3918
1311;13;-3409
1311;13;-2484
1311;13;-2586
1311;13;-1674
1311;13;-1321
1311;13;-324
1311;13;-364
1311;13;-625
1311;13;-2369
1311;13;-2471
1311;13;-4147
1311;13;-4095
1311;13;-4586
1311;13;-4574
1311;13;-2349
1311;13;-2214
1311;13;-1307
1311;13;-1781
1311;13;-2573
1311;13;-2689
1311;13;-216
1311;13;-474
1311;13;-457
1311;13;-74
1311;13;-2702
1311;13;-3332
1311;13;-4476
1311;13;-4622
1311;13;-4267
1311;13;-4353
1311;13;-4252
1311;13;-4429
1311;13;-3680
1311;13;-3845
1311;13;-3397
1311;13;-3483
1311;13;-4286
1311;13;-4101
1311;13;-3117
1311;13;-3319
1311;13;-1572
1311;13;-1749
1311;13;-394
1311;13;-436
1311;13;-354
1311;13;-289
1311;13;-1784
1311;13;-1927
1311;13;-4112
1311;13;-4027
1311;13;-3986
1311;13;-3402
1311;13;-1880
1311;13;-1609
1311;13;-100
1311;13;-960
1311;13;-1668
1311;13;-1591
1311;13;-1976
1311;13;-2161
1311;13;-4177
1311;13;-3970
1311;13;-2938
1311;13;-3083
1311;13;-3076
1311;13;-3105
1311;13;-2358
1311;13;-2460
1311;13;-1863
1311;13;-1973
1311;13;-1561
1311;13;-1219
1311;13;-310
1311;13;-347
1312;13;-1120
1312;13;-1073
1312;13;-931
1312;13;-693
1312;13;-299
1312;13;-818
1312;13;-3023
1312;13;-2945
1312;13;-2625
1312;13;-2612
1312;13;-2864
1312;13;-2870
1312;13;-2826
1312;13;-2720
1312;13;-2029
1312;13;-2153
1312;13;-1911
1312;13;-1966
1312;13;-680
1312;13;-697
1312;13;-578
1312;13;-558
1312;13;-2601
1312;13;-2826
1312;13;-2470
1312;13;-2414
1312;13;-179
1312;13;-97
1312;13;-142
1312;13;-222
1312;13;-1227
1312;13;-3115
1312;13;-3163
1312;13;-2597
1312;13;-2687
1312;13;-3249
1312;13;-3356
1312;13;-3194
1312;13;-3211
1312;13;-2481
1312;13;-2549
1312;13;-2307
1312;13;-2145
1312;13;-1298
1312;13;-1299
1312;13;-844
1312;13;-718
1312;13;-2163
1312;13;-2395
1312;13;-1859
1312;13;-969
1312;13;-259
1312;13;-2655
1312;13;-2643
1312;13;-1845
1312;13;-1923
1312;13;-1262
1312;13;-1346
1312;13;-733
1312;13;-803
1312;13;-252
1312;13;-227
1312;13;-362
1312;13;-1793
1312;13;-1760
1312;13;-920
1312;13;-1069
1312;13;-723
1312;13;-655
1312;13;-246
1312;13;-710
1312;13;-1014
1312;13;-1175
1312;13;-1038
1312;13;-11
1312;13;-15
1312;13;-237
1312;13;-140
1312;13;-183
1312;13;-1018
1312;13;-2093
1312;13;-2124
1312;13;-1250
1312;13;-1312
1312;13;-1295
1312;13;-1412
1312;13;-804
1312;13;-875
1312;13;-541
1312;13;-1012
1312;13;-743
1312;13;-710
1312;13;-254
1312;13;-403
1312;13;-954
1312;13;-1185
1312;13;-1725
1312;13;-1466
1312;13;-325
1312;13;-321
1312;13;-536
1312;13;-610
1312;13;-1465
1312;13;-1401
1312;13;-1338
1312;13;-1077
1312;13;-2193
1312;13;-2271
1312;13;-2442
1312;13;-2332
1312;13;-1872
1312;13;-1644
1312;13;-275
1312;13;-296
1312;13;-952
1312;13;-444
1312;13;-1031
1312;13;-626
1312;13;-600
1312;13;-302
1312;13;-635
1312;13;-925
1312;13;-989
1312;13;-275
1312;13;-303
1312;13;-1133
1312;13;-989
1312;13;-745
1312;13;-508
1312;13;-1071
1312;13;-1217
1312;13;-2677
1312;13;-2880
1312;13;-2474
1312;13;-1806
1312;13;-530
1312;13;-328
1312;13;-252
1312;13;-1133
1312;13;-1289
1312;13;-350
1312;13;-1137
1312;13;-3131
1312;13;-3088
1312;13;-1738
1312;13;-1829
1312;13;-1226
1312;13;-1301
1312;13;-528
1312;13;-490
1312;13;-478
1312;13;-637
1312;13;-1431
1312;13;-1453
1312;13;-375
1312;13;-271
1403;14;-617
1403;14;-423
1403;14;-690
1403;14;-713
1403;14;-112
1403;14;-922
1403;14;-841
1404;14;-528
1404;14;-566
1404;14;-889
1404;14;-833
1404;14;-900
1404;14;-979
1404;14;-819
1404;14;-1036
1404;14;-635
1404;14;-366
1410;14;-640
1410;14;-969
1410;14;-532
1410;14;-662
1410;14;-115
1410;14;-147
1410;14;-414
1410;14;-261
1410;14;-172
1410;14;-480
1410;14;-386
1410;14;-787
1410;14;-1276
1410;14;-104
1412;14;-801
1412;14;-1906
1412;14;-1461
1412;14;-67
1412;14;-114
1412;14;-555
1412;14;-297
1412;14;-67
1502;15;-349
1502;15;-25
1502;15;-2040
1502;15;-2192
1502;15;-1756
1502;15;-1606
1502;15;-36
1502;15;-341
1502;15;-251
1502;15;-50
1502;15;-283
1502;15;-913
1502;15;-350
1502;15;-366
1502;15;-22
1502;15;-151
1502;15;-138
1502;15;-273
1504;15;-5
1504;15;-87
1504;15;-818
1504;15;-798
1504;15;-611
1504;15;-633
1504;15;-363
1504;15;-284
1504;15;-1316
1504;15;-1343
1504;15;-1208
1504;15;-1211
1504;15;-960
1504;15;-1116
1504;15;-545
1504;15;-381
1504;15;-985
1504;15;-835
1504;15;-729
1504;15;-485
1504;15;-430
1510;15;-353
1510;15;-420
1510;15;-390
1510;15;-453
1510;15;-85
1510;15;-217
1510;15;-66
1601;16;-1173
1601;16;-2491
1601;16;-2457
1601;16;-1422
1601;16;-1255
1601;16;-755
1601;16;-2078
1601;16;-2924
1601;16;-2897
1601;16;-2659
1601;16;-2838
1601;16;-2585
1601;16;-2703
1601;16;-2835
1601;16;-3087
1601;16;-2078
1601;16;-2057
1601;16;-2560
1601;16;-2257
1601;16;-1484
1601;16;-1494
1601;16;-2016
1601;16;-1113
1601;16;-111
1601;16;-1735
1601;16;-2754
1601;16;-2918
1601;16;-1873
1601;16;-944
1602;16;-381
1602;16;-135
1602;16;-510
1602;16;-1082
1602;16;-1346
1602;16;-503
1603;16;-430
1603;16;-1077
1603;16;-224
1603;16;-80
1603;16;-42
1604;16;-4
1604;16;-1241
1604;16;-1238
1604;16;-1530
1604;16;-1597
1604;16;-924
1604;16;-1139
1604;16;-754
1604;16;-973
1604;16;-312
1604;16;-300
1604;16;-387
1604;16;-730
1604;16;-404
1604;16;-595
1604;16;-338
1604;16;-864
1604;16;-1350
1604;16;-1327
1604;16;-638
1604;16;-286
1604;16;-319
1604;16;-43
1604;16;-2877
1604;16;-2672
1604;16;-3589
1604;16;-3605
1604;16;-2612
1604;16;-2199
1604;16;-777
1604;16;-672
1604;16;-439
1604;16;-569
1604;16;-531
1604;16;-820
1604;16;-182
1604;16;-269
1604;16;-935
1604;16;-1194
1604;16;-1971
1604;16;-1414
1604;16;-1331
1604;16;-2578
1604;16;-2463
1604;16;-1490
1604;16;-1361
1604;16;-132
1604;16;-541
1604;16;-381
1604;16;-208
1604;16;-452
1604;16;-1585
1604;16;-3173
1605;16;-3170
1605;16;-1440
1605;16;-136
1605;16;-139
1605;16;-233
1605;16;-663
1605;16;-927
1605;16;-127
1607;16;-121
1607;16;-108
1607;16;-74
1607;16;-1120
1607;16;-1252
1607;16;-1216
1607;16;-1104
1607;16;-733
1607;16;-886
1607;16;-1300
1607;16;-1257
1607;16;-444
1607;16;-552
1607;16;-87
1607;16;-252
1607;16;-576
1607;16;-438
1608;16;-54
1608;16;-26
1608;16;-621
1608;16;-871
1608;16;-219
1608;16;-758
1608;16;-598
1608;16;-1118
1608;16;-1105
1608;16;-1721
1608;16;-1784
1608;16;-2606
1608;16;-2923
1608;16;-3152
1608;16;-2837
1608;16;-1779
1608;16;-2308
1608;16;-1992
1608;16;-1893
1608;16;-1113
1608;16;-1046
1608;16;-963
1608;16;-785
1608;16;-16
1608;16;-576
1608;16;-99
1608;16;-123
1608;16;-253
1608;16;-164
1609;16;-212
1609;16;-116
1609;16;-122
1609;16;-379
1609;16;-11
1609;16;-673
1609;16;-461
1610;16;-160
1610;16;-10
1610;16;-582
1610;16;-575
1610;16;-982
1610;16;-1220
1610;16;-1409
1610;16;-1396
1610;16;-1267
1610;16;-1200
1610;16;-2528
1610;16;-2771
1610;16;-1038
1610;16;-466
1610;16;-1122
1610;16;-1141
1610;16;-1185
1610;16;-787
1610;16;-942
1610;16;-926
1610;16;-1575
1610;16;-1781
1610;16;-1836
1610;16;-1695
1610;16;-906
1610;16;-1046
1610;16;-885
1610;16;-1694
1610;16;-1896
1610;16;-2034
1610;16;-1008
1610;16;-1237
1610;16;-558
1610;16;-1278
1610;16;-1570
1610;16;-1556
1610;16;-1474
1610;16;-218
1610;16;-686
1610;16;-1300
1610;16;-2871
1610;16;-2564
1610;16;-273
1610;16;-295
1610;16;-548
1610;16;-258
1610;16;-721
1610;16;-896
1610;16;-1750
1610;16;-1891
1610;16;-11
1610;16;-120
1610;16;-674
1610;16;-2483
1610;16;-2705
1610;16;-3248
1610;16;-3527
1610;16;-3350
1610;16;-3064
1610;16;-3148
1610;16;-3029
1610;16;-3197
1610;16;-3583
1610;16;-3826
1610;16;-3586
1610;16;-2307
1610;16;-2061
1610;16;-1178
1610;16;-664
1610;16;-118
1610;16;-7
1610;16;-1377
1610;16;-1491
1610;16;-3448
1610;16;-3181
1610;16;-2686
1610;16;-2057
1610;16;-750
1610;16;-953
1610;16;-1153
1610;16;-1761
1610;16;-2852
1610;16;-2988
1610;16;-1515
1610;16;-519
1610;16;-635
1610;16;-1265
1610;16;-4015
1610;16;-4004
1610;16;-3950
1610;16;-4207
1610;16;-4232
1610;16;-4075
1610;16;-3977
1610;16;-4138
1610;16;-3845
1610;16;-3573
1610;16;-3335
1610;16;-3136
1610;16;-2101
1610;16;-2299
1610;16;-1906
1610;16;-1668
1610;16;-438
1610;16;-329
1610;16;-2259
1610;16;-2634
1610;16;-3611
1610;16;-3655
1610;16;-2411
1610;16;-1766
1610;16;-1819
1610;16;-1386
1610;16;-1569
1610;16;-2449
1610;16;-2937
1610;16;-2914
1610;16;-1875
1610;16;-357
1610;16;-1148
1610;16;-2045
1610;16;-4425
1610;16;-4306
1610;16;-4793
1610;16;-4700
1610;16;-4033
1610;16;-4179
1610;16;-4564
1610;16;-4288
1610;16;-4023
1610;16;-4176
1610;16;-3485
1610;16;-3322
1610;16;-2113
1610;16;-2286
1610;16;-1407
1610;16;-1326
1610;16;-224
1610;16;-1074
1610;16;-1383
1610;16;-3007
1610;16;-2789
1610;16;-1707
1610;16;-1343
1610;16;-112
1610;16;-776
1610;16;-1431
1610;16;-1162
1610;16;-1167
1610;16;-3551
1610;16;-3548
1610;16;-4052
1610;16;-4078
1610;16;-3818
1610;16;-4233
1610;16;-5190
1610;16;-4933
1610;16;-4438
1610;16;-4691
1610;16;-4930
1610;16;-4904
1610;16;-3642
1610;16;-3556
1610;16;-2128
1610;16;-2049
1610;16;-1487
1610;16;-1562
1610;16;-1365
1610;16;-1347
1610;16;-1509
1610;16;-1649
1610;16;-2768
1610;16;-2981
1610;16;-3651
1610;16;-3562
1610;16;-2227
1610;16;-1728
1610;16;-1395
1610;16;-1361
1610;16;-1687
1610;16;-2197
1610;16;-1893
1610;16;-2122
1610;16;-109
1610;16;-118
1610;16;-1591
1610;16;-3841
1610;16;-3641
1610;16;-4400
1610;16;-4788
1610;16;-4244
1610;16;-4315
1610;16;-3717
1610;16;-3750
1610;16;-3256
1610;16;-3374
1610;16;-3484
1610;16;-3204
1610;16;-2242
1610;16;-2508
1610;16;-2158
1610;16;-2173
1610;16;-1373
1610;16;-1099
1610;16;-231
1610;16;-212
1610;16;-561
1610;16;-1581
1610;16;-1861
1610;16;-2370
1610;16;-2271
1610;16;-1770
1610;16;-1468
1610;16;-31
1610;16;-260
1610;16;-375
1610;16;-1130
1610;16;-1676
1610;16;-1762
1610;16;-2527
1610;16;-2562
1610;16;-3357
1610;16;-3460
1610;16;-3507
1610;16;-3559
1610;16;-3564
1610;16;-3316
1610;16;-2743
1610;16;-2933
1610;16;-3706
1610;16;-3664
1610;16;-3195
1610;16;-3126
1610;16;-2088
1610;16;-2075
1610;16;-2175
1610;16;-1942
1610;16;-1356
1610;16;-1170
1610;16;-640
1610;16;-949
1610;16;-1974
1610;16;-1977
1610;16;-2187
1610;16;-1865
1610;16;-1224
1610;16;-1922
1610;16;-797
1610;16;-529
1610;16;-1068
1610;16;-1780
1610;16;-2126
1610;16;-2123
1610;16;-174
1610;16;-972
1610;16;-2650
1610;16;-2963
1610;16;-3485
1610;16;-3428
1610;16;-2872
1610;16;-2569
1610;16;-1721
1610;16;-1668
1610;16;-1411
1610;16;-1591
1610;16;-1280
1610;16;-1211
1610;16;-1430
1610;16;-1950
1610;16;-2164
1610;16;-1775
1610;16;-1317
1610;16;-732
1610;16;-325
1610;16;-266
1610;16;-1396
1610;16;-1515
1610;16;-2004
1610;16;-2346
1610;16;-2338
1610;16;-2412
1610;16;-2101
1610;16;-2029
1610;16;-1471
1610;16;-1656
1610;16;-1549
1610;16;-1317
1610;16;-110
1610;16;-354
1610;16;-1434
1610;16;-1912
1610;16;-2348
1610;16;-2377
1610;16;-1765
1610;16;-620
1610;16;-697
1610;16;-749
1610;16;-2699
1610;16;-2920
1610;16;-2558
1610;16;-2683
1610;16;-2140
1610;16;-2145
1610;16;-1704
1610;16;-1585
1610;16;-1037
1610;16;-1033
1610;16;-1263
1610;16;-1109
1610;16;-529
1610;16;-964
1610;16;-780
1610;16;-2408
1610;16;-2408
1610;16;-2027
1610;16;-1187
1610;16;-398
1610;16;-745
1610;16;-1263
1610;16;-2195
1610;16;-1730
1610;16;-2199
1610;16;-1999
1610;16;-2426
1610;16;-2406
1610;16;-2043
1610;16;-2182
1610;16;-1548
1610;16;-1431
1610;16;-946
1610;16;-1064
1610;16;-1638
1610;16;-1907
1610;16;-658
1610;16;-479
1610;16;-440
1610;16;-368
1610;16;-1511
1610;16;-1552
1610;16;-1341
1610;16;-1179
1610;16;-1401
1610;16;-2240
1610;16;-2472
1610;16;-1659
1610;16;-351
1610;16;-511
1610;16;-1208
1610;16;-1165
1610;16;-1490
1610;16;-2173
1610;16;-2342
1610;16;-1924
1610;16;-1619
1610;16;-1375
1610;16;-1132
1610;16;-2114
1610;16;-2762
1610;16;-1499
1610;16;-385
1610;16;-1280
1610;16;-2850
1610;16;-2719
1610;16;-404
1610;16;-1057
1610;16;-719
1610;16;-1417
1610;16;-1516
1610;16;-180
1610;16;-53
1610;16;-586
1610;16;-910
1610;16;-2097
1610;16;-1880
1610;16;-43
1610;16;-1513
1610;16;-2077
1610;16;-2500
1610;16;-2743
1610;16;-2846
1610;16;-3055
1610;16;-3064
1610;16;-3028
1610;16;-3364
1610;16;-3638
1610;16;-3908
1610;16;-3657
1610;16;-3014
1610;16;-2960
1610;16;-2269
1610;16;-1688
1610;16;-908
1610;16;-818
1610;16;-398
1610;16;-153
1610;16;-878
1610;16;-534
1610;16;-493
1610;16;-839
1610;16;-240
1610;16;-1075
1610;16;-2169
1610;16;-2105
1610;16;-600
1610;16;-473
1610;16;-2826
1610;16;-3518
1610;16;-3331
1610;16;-3303
1610;16;-2843
1610;16;-3132
1610;16;-2659
1610;16;-2833
1610;16;-3140
1610;16;-3029
1610;16;-2695
1610;16;-2528
1610;16;-1816
1610;16;-1880
1610;16;-1259
1610;16;-1277
1610;16;-726
1610;16;-524
1610;16;-20
1610;16;-263
1610;16;-404
1610;16;-531
1610;16;-537
1610;16;-458
1610;16;-444
1610;16;-743
1610;16;-901
1610;16;-1018
1610;16;-1304
1610;16;-1432
1610;16;-1757
1610;16;-1823
1610;16;-1457
1610;16;-1745
1610;16;-1728
1610;16;-1506
1610;16;-878
1610;16;-809
1610;16;-42
1610;16;-274
1610;16;-554
1610;16;-1333
1610;16;-1523
1610;16;-1294
1610;16;-1193
1610;16;-68
1610;16;-202
